 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.4882812E+00   0.4882812E+00   0.0000000E+00   0.2441406E+00   0.4882812E+00
   0.4882812E+00   0.4882812E+00   0.4882812E+00   0.7324219E+00   0.9765625E+00
   0.4882812E+00   0.4882812E+00   0.9765625E+00   0.1220703E+01   0.1464844E+01
   0.4882812E+00   0.4882812E+00   0.1464844E+01   0.1708984E+01   0.1953125E+01
   0.4882812E+00   0.4882812E+00   0.1953125E+01   0.2197266E+01   0.2441406E+01
   0.4882812E+00   0.4882812E+00   0.2441406E+01   0.2685547E+01   0.2929688E+01
   0.4882812E+00   0.4882812E+00   0.2929688E+01   0.3173828E+01   0.3417969E+01
   0.4882812E+00   0.4882812E+00   0.3417969E+01   0.3662109E+01   0.3906250E+01
   0.4882812E+00   0.4882812E+00   0.3906250E+01   0.4150391E+01   0.4394531E+01
   0.4882812E+00   0.4882812E+00   0.4394531E+01   0.4638672E+01   0.4882812E+01
   0.4882812E+00   0.4882812E+00   0.4882812E+01   0.5126953E+01   0.5371094E+01
   0.4882812E+00   0.4882812E+00   0.5371094E+01   0.5615234E+01   0.5859375E+01
   0.4882812E+00   0.4882812E+00   0.5859375E+01   0.6103516E+01   0.6347656E+01
   0.4882812E+00   0.4882812E+00   0.6347656E+01   0.6591797E+01   0.6835938E+01
   0.4882812E+00   0.4882812E+00   0.6835938E+01   0.7080078E+01   0.7324219E+01
   0.4882812E+00   0.4882812E+00   0.7324219E+01   0.7568359E+01   0.7812500E+01
   0.4882812E+00   0.4882812E+00   0.7812500E+01   0.8056641E+01   0.8300781E+01
   0.4882812E+00   0.4882812E+00   0.8300781E+01   0.8544922E+01   0.8789062E+01
   0.4882812E+00   0.4882812E+00   0.8789062E+01   0.9033203E+01   0.9277344E+01
   0.4882812E+00   0.4882812E+00   0.9277344E+01   0.9521484E+01   0.9765625E+01
   0.4882812E+00   0.4882812E+00   0.9765625E+01   0.1000977E+02   0.1025391E+02
   0.4882812E+00   0.4882812E+00   0.1025391E+02   0.1049805E+02   0.1074219E+02
   0.4882812E+00   0.4882812E+00   0.1074219E+02   0.1098633E+02   0.1123047E+02
   0.4882812E+00   0.4882812E+00   0.1123047E+02   0.1147461E+02   0.1171875E+02
   0.4882812E+00   0.4882812E+00   0.1171875E+02   0.1196289E+02   0.1220703E+02
   0.4882812E+00   0.4882812E+00   0.1220703E+02   0.1245117E+02   0.1269531E+02
   0.4882812E+00   0.4882812E+00   0.1269531E+02   0.1293945E+02   0.1318359E+02
   0.4882812E+00   0.4882812E+00   0.1318359E+02   0.1342773E+02   0.1367188E+02
   0.4882812E+00   0.4882812E+00   0.1367188E+02   0.1391602E+02   0.1416016E+02
   0.4882812E+00   0.4882812E+00   0.1416016E+02   0.1440430E+02   0.1464844E+02
   0.4882812E+00   0.4882812E+00   0.1464844E+02   0.1489258E+02   0.1513672E+02
   0.4882812E+00   0.4882812E+00   0.1513672E+02   0.1538086E+02   0.1562500E+02
   0.4882812E+00   0.4882812E+00   0.1562500E+02   0.1586914E+02   0.1611328E+02
   0.4882812E+00   0.4882812E+00   0.1611328E+02   0.1635742E+02   0.1660156E+02
   0.4882812E+00   0.4882812E+00   0.1660156E+02   0.1684570E+02   0.1708984E+02
   0.4882812E+00   0.4882812E+00   0.1708984E+02   0.1733398E+02   0.1757812E+02
   0.4882812E+00   0.4882812E+00   0.1757812E+02   0.1782227E+02   0.1806641E+02
   0.4882812E+00   0.4882812E+00   0.1806641E+02   0.1831055E+02   0.1855469E+02
